title,artist,top genre,year released,dur
Red Lights,Tiësto,big room,2014,262
2 On (feat. ScHoolboy Q),Tinashe,alternative r&b,2014,227
Habits (Stay High),Tove Lo,art pop,2014,209
Talking Body,Tove Lo,art pop,2014,238
Na Na,Trey Songz,dance pop,2015,232
Riptide,Vance Joy,folk-pop,2014,204
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2012,217
Faded,ZHU,edm,2014,223
Ghost Town,Adam Lambert,dance pop,2015,208
Here,Alessia Cara,canadian contemporary r&b,2015,199
"Honey, I'm Good.",Andy Grammer,dance pop,2014,199
Love Me Harder,Ariana Grande,dance pop,2014,236
The Nights,Avicii,dance pop,2014,177
Waiting For Love,Avicii,dance pop,2015,231
